RTSI$ Index,Last Price,High Price,Low Price,Volume,Open Price,,SPX Index,Last Price,High Price,Low Price,Volume,Open Price
Dates,PX_LAST,PX_HIGH,PX_LOW,PX_VOLUME,PX_OPEN,,Dates,PX_LAST,PX_HIGH,PX_LOW,PX_VOLUME,PX_OPEN
10.01.2006,1190.34,1192.9,1128.2,45551788,1128.2,,03.01.2006,1268.8,1270.22,1245.74,1511666432,1248.29
11.01.2006,1216.66,1216.92,1188.86,98596352,1190.04,,04.01.2006,1273.46,1275.37,1267.74,1451294208,1268.8
12.01.2006,1255.92,1261.42,1216.96,127009136,1216.96,,05.01.2006,1273.48,1276.91,1270.3,1419537536,1273.46
13.01.2006,1239.76,1261.57,1234.1,72828544,1255.65,,06.01.2006,1285.45,1286.09,1273.48,1536703616,1273.48
16.01.2006,1276.9,1277.26,1240.05,57721104,1240.05,,09.01.2006,1290.15,1290.78,1284.82,1317811584,1285.45
17.01.2006,1253.58,1292.3,1246.61,58753140,1277.79,,10.01.2006,1289.69,1290.15,1283.76,1384436736,1290.15
18.01.2006,1235.01,1252.91,1219.79,48408864,1252.91,,11.01.2006,1294.18,1294.9,1288.12,1434620032,1289.72
19.01.2006,1278.28,1278.28,1225.66,58568548,1233.01,,12.01.2006,1286.06,1294.18,1285.04,1364525696,1294.18
20.01.2006,1304.53,1305.96,1278.93,135193120,1278.93,,13.01.2006,1287.61,1288.96,1282.78,1352015488,1286.06
23.01.2006,1295.39,1305.82,1287.71,24515580,1304.28,,17.01.2006,1282.93,1287.61,1278.61,1309810688,1287.61
24.01.2006,1307.05,1308.05,1296.2,117632456,1296.2,,18.01.2006,1277.93,1282.93,1272.08,1557599488,1282.93
25.01.2006,1324.65,1325.82,1307.05,66151776,1307.05,,19.01.2006,1285.04,1287.79,1277.93,1588769408,1277.93
26.01.2006,1337.82,1340.33,1323.01,104047704,1324.37,,20.01.2006,1261.49,1285.04,1260.92,1840725376,1285.04
27.01.2006,1373.22,1373.22,1338.63,118441056,1338.63,,23.01.2006,1263.82,1268.19,1261.49,1504039040,1261.49
30.01.2006,1332.27,1376.43,1331.59,57008288,1374,,24.01.2006,1266.86,1271.47,1263.82,1796397056,1263.82
31.01.2006,1315.96,1346.46,1314.75,42786024,1334.04,,25.01.2006,1264.68,1271.87,1259.42,1851374720,1266.86
01.02.2006,1339.57,1340.02,1308.95,34575596,1316.01,,26.01.2006,1273.83,1276.44,1264.68,1961275392,1264.68
02.02.2006,1334.85,1342.18,1333.35,15191257,1339.79,,27.01.2006,1283.72,1286.38,1273.83,1870528768,1273.83
03.02.2006,1308.13,1334.13,1307.88,42416912,1334.13,,30.01.2006,1285.2,1287.94,1283.51,1587960320,1283.72
06.02.2006,1325.27,1332.44,1308.45,36545624,1308.45,,31.01.2006,1280.08,1285.2,1276.85,1879069056,1285.2
07.02.2006,1330.64,1335.01,1322.96,107153312,1325.48,,01.02.2006,1282.46,1283.33,1277.57,1807003136,1280.08
08.02.2006,1335.19,1335.4,1312.06,33837676,1330.16,,02.02.2006,1270.84,1282.46,1267.72,1731730816,1282.46
09.02.2006,1366.37,1367.47,1336.46,98318712,1336.46,,03.02.2006,1264.03,1270.87,1261.02,1742966144,1270.84
10.02.2006,1365.26,1370.06,1360.36,55625968,1367.08,,06.02.2006,1265.02,1267.04,1261.62,1407164288,1264.03
13.02.2006,1365.24,1369.72,1357.52,51160576,1363.65,,07.02.2006,1254.78,1265.78,1253.61,1646823040,1265.02
14.02.2006,1367.91,1383.22,1362.37,56514580,1365.11,,08.02.2006,1265.65,1266.47,1254.78,1690485632,1254.78
15.02.2006,1375.1,1375.1,1355.16,160791632,1368.92,,09.02.2006,1263.78,1274.56,1262.8,1659002368,1265.65
16.02.2006,1381.59,1386.7,1366.7,58548272,1373.92,,10.02.2006,1266.99,1269.89,1254.98,1486700544,1263.82
17.02.2006,1428.14,1428.15,1382.49,38984824,1382.49,,13.02.2006,1262.86,1266.99,1258.34,1187575552,1266.99
20.02.2006,1459.48,1459.48,1430.87,48543772,1430.87,,14.02.2006,1275.53,1278.21,1260.8,1572662016,1262.86
21.02.2006,1444.35,1464,1444.35,48586848,1459.93,,15.02.2006,1280,1281,1271.06,1567425792,1275.53
22.02.2006,1465.62,1466.42,1442.94,68432136,1444.38,,16.02.2006,1289.38,1289.39,1280,1513326592,1280
26.02.2006,1516.46,1516.66,1465.62,96069360,1465.62,,17.02.2006,1287.24,1289.47,1284.07,1536302080,1289.38
27.02.2006,1516.99,1531.27,1496.78,107782912,1516.59,,21.02.2006,1283.03,1291.92,1281.33,1345217280,1287.24
28.02.2006,1453.44,1515.1,1451.52,66829072,1515.1,,22.02.2006,1292.67,1294.17,1283.03,1549660544,1283.03
01.03.2006,1450.82,1465.69,1434.82,98409264,1453.7,,23.02.2006,1287.79,1293.84,1285.14,1416261632,1292.67
02.03.2006,1466.87,1470.82,1452.95,46264480,1452.95,,24.02.2006,1289.43,1292.11,1285.62,1197830912,1287.79
03.03.2006,1487.11,1497.17,1467,69442912,1467,,27.02.2006,1294.12,1297.57,1289.43,1310408320,1289.43
06.03.2006,1480.9,1497.52,1479.63,22556868,1487.21,,28.02.2006,1280.66,1294.12,1278.66,1707962496,1294.12
07.03.2006,1396.48,1476.68,1396.48,59112240,1476.68,,01.03.2006,1291.24,1291.8,1280.66,1642311424,1280.66
09.03.2006,1361.28,1393.27,1350.15,74053680,1393.27,,02.03.2006,1289.14,1291.24,1283.21,1674127744,1291.24
10.03.2006,1351.26,1365.79,1341.59,43471400,1361.4,,03.03.2006,1287.23,1297.33,1284.2,1724304768,1289.14
13.03.2006,1384.58,1391.8,1352.51,63929412,1353.63,,06.03.2006,1278.26,1288.23,1275.67,1571653376,1287.23
14.03.2006,1360.33,1405.04,1348.16,45346280,1384.85,,07.03.2006,1275.88,1278.26,1271.11,1481910400,1278.26
15.03.2006,1377.33,1377.38,1359.91,58028856,1363.93,,08.03.2006,1278.47,1280.33,1268.42,1600840960,1275.88
16.03.2006,1381.7,1383.92,1371.98,42489556,1376.84,,09.03.2006,1272.23,1282.74,1272.23,1437443840,1278.47
17.03.2006,1414.92,1420.1,1381.38,45838984,1381.38,,10.03.2006,1281.58,1284.37,1271.11,1401033856,1272.23
20.03.2006,1408.52,1425.85,1406.14,17101896,1415.71,,13.03.2006,1284.13,1287.37,1281.58,1314377216,1281.58
21.03.2006,1395.24,1408.12,1394.58,23309652,1408.12,,14.03.2006,1297.48,1298.14,1282.67,1390807040,1284.13
22.03.2006,1408.81,1408.81,1391.39,23963000,1394.88,,15.03.2006,1303.02,1304.4,1294.97,1609190528,1297.48
23.03.2006,1430.18,1430.48,1408.96,44115336,1408.96,,16.03.2006,1305.33,1310.45,1303.02,1723214080,1303.02
24.03.2006,1420.25,1429.59,1407.78,32682808,1429.17,,17.03.2006,1307.25,1309.79,1305.32,2048163840,1305.33
27.03.2006,1428.69,1436.57,1420.7,14460608,1420.7,,20.03.2006,1305.08,1310,1303.59,1356931712,1307.25
28.03.2006,1414.7,1428.75,1413.8,28850220,1428.08,,21.03.2006,1297.23,1310.88,1295.82,1639627136,1305.08
29.03.2006,1391.31,1414.58,1390.24,15131570,1414.58,,22.03.2006,1305.04,1305.97,1295.81,1509253632,1297.23
30.03.2006,1431.22,1431.22,1393.32,20708312,1393.32,,23.03.2006,1301.67,1305.04,1298.11,1428152448,1305.04
31.03.2006,1434.99,1442.91,1431.04,32803090,1431.08,,24.03.2006,1302.95,1306.53,1298.89,1397275520,1301.67
03.04.2006,1450.88,1451.02,1434.65,42384304,1434.73,,27.03.2006,1301.61,1303.74,1299.09,1289384064,1302.95
04.04.2006,1455.67,1460.69,1450.87,38549344,1451.29,,28.03.2006,1293.23,1306.24,1291.84,1481760640,1301.61
05.04.2006,1485.22,1485.46,1459.01,70087216,1459.01,,29.03.2006,1302.89,1305.6,1293.23,1651315456,1293.23
06.04.2006,1493.84,1506.24,1485.67,46021848,1485.67,,30.03.2006,1300.25,1310.15,1296.72,1495904896,1302.89
07.04.2006,1523.15,1525.85,1491.15,33568596,1493.52,,31.03.2006,1294.83,1303,1294.83,1457430016,1300.25
10.04.2006,1555.06,1556.92,1519.28,45899940,1523.94,,03.04.2006,1297.81,1309.19,1296.65,1537316608,1302.88
