"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"07.12.2018","2.510,0","2.570,0","2.577,0","2.494,0","52,17K","-1,95%"
"06.12.2018","2.560,0","2.580,0","2.580,0","2.540,0","12,71K","-0,66%"
"05.12.2018","2.577,0","2.554,0","2.581,0","2.535,0","20,58K","0,39%"
"04.12.2018","2.567,0","2.594,0","2.599,0","2.552,0","32,18K","-0,85%"
"03.12.2018","2.589,0","2.588,0","2.597,0","2.568,0","18,67K","-0,15%"
"30.11.2018","2.593,0","2.582,0","2.623,0","2.532,0","42,59K","-0,19%"
"29.11.2018","2.598,0","2.596,0","2.639,0","2.584,0","47,48K","0,50%"
"28.11.2018","2.585,0","2.544,0","2.599,0","2.537,0","42,28K","1,41%"
"27.11.2018","2.549,0","2.489,0","2.564,0","2.488,0","55,52K","2,49%"
"26.11.2018","2.487,0","2.483,0","2.518,0","2.433,0","70,40K","0,16%"
"23.11.2018","2.483,0","2.460,0","2.485,0","2.442,0","33,75K","1,35%"
"22.11.2018","2.450,0","2.473,0","2.473,0","2.445,0","35,48K","-0,33%"
"21.11.2018","2.458,0","2.490,0","2.533,0","2.363,0","124,13K","-0,81%"
"20.11.2018","2.478,0","2.487,0","2.530,0","2.473,0","74,08K","-0,76%"
"19.11.2018","2.497,0","2.514,0","2.517,0","2.483,0","27,09K","-0,12%"
"16.11.2018","2.500,0","2.505,0","2.520,0","2.470,0","26,03K","0,32%"
"15.11.2018","2.492,0","2.503,0","2.523,0","2.490,0","14,36K","-0,80%"
"14.11.2018","2.512,0","2.505,0","2.522,0","2.475,0","38,36K","0,32%"
"13.11.2018","2.504,0","2.471,0","2.533,0","2.468,0","26,38K","1,34%"
"12.11.2018","2.471,0","2.510,0","2.522,0","2.464,0","32,00K","-0,84%"
"09.11.2018","2.492,0","2.510,0","2.520,0","2.477,0","22,29K","-1,11%"
"08.11.2018","2.520,0","2.540,0","2.552,0","2.510,0","12,98K","-0,47%"
"07.11.2018","2.532,0","2.518,0","2.542,0","2.475,0","23,06K","0,20%"
"06.11.2018","2.527,0","2.500,0","2.541,0","2.500,0","26,00K","0,72%"
"02.11.2018","2.509,0","2.478,0","2.539,0","2.478,0","17,67K","1,17%"
"01.11.2018","2.480,0","2.460,0","2.496,0","2.424,0","28,12K","0,40%"
"31.10.2018","2.470,0","2.404,0","2.475,0","2.404,0","39,12K","3,35%"
"30.10.2018","2.390,0","2.425,0","2.439,0","2.370,0","26,24K","-1,40%"
"29.10.2018","2.424,0","2.391,0","2.434,0","2.370,0","12,74K","1,38%"
"26.10.2018","2.391,0","2.424,0","2.427,0","2.365,0","33,93K","-0,87%"
"25.10.2018","2.412,0","2.400,0","2.428,0","2.373,0","36,62K","-0,58%"
"24.10.2018","2.426,0","2.429,0","2.470,0","2.402,0","63,50K","-0,61%"
"23.10.2018","2.441,0","2.410,0","2.444,0","2.372,0","44,67K","0,95%"
"22.10.2018","2.418,0","2.436,0","2.474,0","2.410,0","27,35K","-0,74%"
"19.10.2018","2.436,0","2.462,0","2.481,0","2.419,0","45,29K","-0,53%"
"18.10.2018","2.449,0","2.450,0","2.492,0","2.430,0","44,93K","0,12%"
"17.10.2018","2.446,0","2.495,0","2.533,0","2.425,0","31,75K","-1,09%"
"16.10.2018","2.473,0","2.469,0","2.499,0","2.446,0","31,57K","0,65%"
"15.10.2018","2.457,0","2.475,0","2.475,0","2.427,0","8,31K","-0,24%"
"12.10.2018","2.463,0","2.475,0","2.493,0","2.455,0","14,80K","0,82%"
"11.10.2018","2.443,0","2.448,0","2.465,0","2.368,0","57,01K","-2,01%"
"10.10.2018","2.493,0","2.554,0","2.571,0","2.472,0","64,42K","-2,43%"
"09.10.2018","2.555,0","2.625,0","2.640,0","2.552,0","34,81K","-2,29%"
"08.10.2018","2.615,0","2.648,0","2.666,0","2.588,0","23,98K","-0,57%"
"05.10.2018","2.630,0","2.670,0","2.689,0","2.621,0","18,17K","-1,02%"
"04.10.2018","2.657,0","2.621,0","2.670,0","2.586,0","58,24K","1,30%"
"03.10.2018","2.623,0","2.566,0","2.637,0","2.538,0","64,08K","3,02%"
"02.10.2018","2.546,0","2.560,0","2.589,0","2.543,0","17,81K","-0,16%"
"01.10.2018","2.550,0","2.525,0","2.575,0","2.512,0","29,66K","1,31%"
"28.09.2018","2.517,0","2.530,0","2.536,0","2.481,0","29,84K","-0,32%"
"27.09.2018","2.525,0","2.520,0","2.555,0","2.511,0","19,99K","-0,16%"
"26.09.2018","2.529,0","2.558,0","2.589,0","2.513,0","42,52K","-0,75%"
"25.09.2018","2.548,0","2.579,0","2.600,0","2.541,0","32,92K","-0,97%"
"24.09.2018","2.573,0","2.622,0","2.647,0","2.556,0","49,52K","-1,15%"
"21.09.2018","2.603,0","2.689,0","2.704,0","2.603,0","165,89K","-3,23%"
"20.09.2018","2.690,0","2.638,0","2.720,0","2.629,0","151,82K","1,97%"
"19.09.2018","2.638,0","2.654,0","2.668,0","2.622,0","35,66K","-0,45%"
"18.09.2018","2.650,0","2.673,0","2.703,0","2.627,0","110,71K","-0,04%"
"17.09.2018","2.651,0","2.665,0","2.668,0","2.610,0","27,89K","0,08%"
"14.09.2018","2.649,0","2.614,0","2.668,0","2.595,0","31,50K","1,69%"
"13.09.2018","2.605,0","2.659,0","2.671,0","2.600,0","30,14K","-2,03%"
"12.09.2018","2.659,0","2.690,0","2.706,0","2.650,0","27,15K","-1,12%"
"11.09.2018","2.689,0","2.703,0","2.733,0","2.650,0","69,83K","-0,70%"
"10.09.2018","2.708,0","2.639,0","2.710,0","2.612,0","74,15K","2,61%"
"07.09.2018","2.639,0","2.585,0","2.673,0","2.569,0","67,60K","2,09%"
"06.09.2018","2.585,0","2.591,0","2.593,0","2.541,0","49,54K","-0,15%"
"05.09.2018","2.589,0","2.569,0","2.591,0","2.556,0","44,91K","0,23%"
"04.09.2018","2.583,0","2.567,0","2.612,0","2.562,0","44,55K","-0,62%"
"03.09.2018","2.599,0","2.610,0","2.619,0","2.561,0","35,93K","-0,38%"
"31.08.2018","2.609,0","2.642,0","2.642,0","2.540,0","46,44K","-1,55%"
"30.08.2018","2.650,0","2.638,0","2.683,0","2.603,0","43,27K","0,38%"
"29.08.2018","2.640,0","2.544,0","2.640,0","2.535,0","61,43K","4,31%"
"28.08.2018","2.531,0","2.470,0","2.536,0","2.463,0","65,85K","2,47%"
"27.08.2018","2.470,0","2.400,0","2.508,0","2.387,0","100,82K","1,86%"
"24.08.2018","2.425,0","2.414,0","2.460,0","2.409,0","48,51K","0,54%"
"23.08.2018","2.412,0","2.385,0","2.447,0","2.371,0","46,17K","2,20%"
"22.08.2018","2.360,0","2.380,0","2.414,0","2.350,0","27,59K","-0,59%"
"21.08.2018","2.374,0","2.347,0","2.405,0","2.334,0","32,69K","1,15%"
"20.08.2018","2.347,0","2.330,0","2.354,0","2.330,0","17,35K","0,95%"
"17.08.2018","2.325,0","2.329,0","2.335,0","2.304,0","12,29K","0,26%"
"16.08.2018","2.319,0","2.317,0","2.337,0","2.314,0","13,80K","0,22%"
"15.08.2018","2.314,0","2.273,0","2.337,0","2.264,0","43,83K","1,89%"
"14.08.2018","2.271,0","2.290,0","2.290,0","2.261,0","16,37K","-0,48%"
"13.08.2018","2.282,0","2.273,0","2.290,0","2.255,0","29,07K","-0,70%"
